ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
F32	F43	264	856	1686	37921	1.6965056831695307e-148	8.56898029134533e-06	8.56898029134533e-06
J34	M95	76	564	110	37921	1.2632656114599377e-113	8.56898029134533e-06	1.713796058269066e-05
F43	F60	171	1686	443	37921	1.4766536589922397e-113	8.56898029134533e-06	2.570694087403599e-05
F32	F60	132	856	443	37921	2.2377419680983767e-109	8.56898029134533e-06	3.427592116538132e-05
F33	F60	64	182	443	37921	6.37788804156268e-77	8.56898029134533e-06	4.2844901456726646e-05
F32	F33	73	856	182	37921	3.1873789317392805e-71	8.56898029134533e-06	5.141388174807198e-05
J32	J34	75	286	564	37921	5.515268741081356e-71	8.56898029134533e-06	5.998286203941731e-05
N13	N20	50	245	159	37921	6.034548268345497e-71	8.56898029134533e-06	6.855184233076264e-05
F43	F92	102	1686	261	37921	2.6043510309986865e-68	8.56898029134533e-06	7.712082262210797e-05
K01	K07	80	540	442	37921	1.5957671852482228e-63	8.56898029134533e-06	8.568980291345329e-05
K21	K29	75	210	1093	37921	1.0099597354527667e-60	8.56898029134533e-06	9.425878320479863e-05
F11	F19	37	80	246	37921	4.458885863576936e-60	8.56898029134533e-06	0.00010282776349614396
K29	K44	56	1093	101	37921	4.487151905312496e-59	8.56898029134533e-06	0.00011139674378748928
F32	F50	98	856	535	37921	4.598008464592694e-59	8.56898029134533e-06	0.00011996572407883462
F43	F91	83	1686	199	37921	1.7471380543923938e-58	8.56898029134533e-06	0.00012853470437017994
F11	F13	31	80	117	37921	2.4169504010695627e-58	8.56898029134533e-06	0.00013710368466152527
E86	A08	64	223	689	37921	1.000954552312895e-57	8.56898029134533e-06	0.0001456726649528706
N77	B37	23	25	110	37921	1.0989258801556347e-57	8.56898029134533e-06	0.00015424164524421594
F91	F92	45	199	261	37921	4.111654969819353e-55	8.56898029134533e-06	0.00016281062553556125
F33	F43	77	182	1686	37921	6.761965308939322e-55	8.56898029134533e-06	0.00017137960582690659
H65	J35	100	190	3453	37921	4.074970724923537e-53	8.56898029134533e-06	0.00017994858611825192
E10	E14	32	289	60	37921	2.4650743279336285e-52	8.56898029134533e-06	0.00018851756640959726
E86	A09	74	223	1479	37921	6.98403389594004e-48	8.56898029134533e-06	0.0001970865467009426
