ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
J32	J34	320	692	1593	56803	1.030254543785315e-309	4.3308791684711995e-06	4.3308791684711995e-06
J34	M95	266	1593	433	56803	2.938251916047526e-301	4.3308791684711995e-06	8.661758336942399e-06
F11	F13	141	304	310	56803	1.0781650632487034e-246	4.3308791684711995e-06	1.2992637505413598e-05
F33	F60	230	712	1135	56803	1.5138991055013656e-212	4.3308791684711995e-06	1.7323516673884798e-05
N13	N20	184	661	629	56803	1.0013210580102178e-206	4.3308791684711995e-06	2.1654395842355997e-05
N80	N97	326	1553	1415	56803	2.892266738640588e-206	4.3308791684711995e-06	2.5985275010827197e-05
F43	F60	296	1600	1135	56803	3.758753276015437e-199	4.3308791684711995e-06	3.0316154179298396e-05
F32	F60	247	1507	1135	56803	3.8979612588097216e-151	4.3308791684711995e-06	3.4647033347769596e-05
F10	F60	208	1015	1135	56803	1.4230789328506444e-146	4.3308791684711995e-06	3.8977912516240795e-05
K21	K29	165	440	1623	56803	3.12189662330305e-137	4.3308791684711995e-06	4.3308791684711995e-05
N97	E28	159	1415	498	56803	7.37241129879332e-129	4.3308791684711995e-06	4.7639670853183194e-05
K29	K44	134	1623	299	56803	6.1811923078899366e-124	4.3308791684711995e-06	5.1970550021654394e-05
F50	F60	153	619	1135	56803	6.202540098826401e-120	4.3308791684711995e-06	5.630142919012559e-05
N20	N23	93	629	242	56803	1.4552251861181996e-117	4.3308791684711995e-06	6.063230835859679e-05
B18	F19	80	170	526	56803	1.3522511886982793e-116	4.3308791684711995e-06	6.496318752706799e-05
K21	K44	89	440	299	56803	1.620592366276547e-115	4.3308791684711995e-06	6.929406669553919e-05
F11	F19	92	304	526	56803	1.668348307798324e-112	4.3308791684711995e-06	7.362494586401039e-05
N73	N80	135	410	1553	56803	7.459576445335148e-106	4.3308791684711995e-06	7.795582503248159e-05
F32	F33	166	1507	712	56803	1.385537241590777e-105	4.3308791684711995e-06	8.228670420095279e-05
F19	F60	133	526	1135	56803	1.962017834187779e-105	4.3308791684711995e-06	8.661758336942399e-05
N80	N94	171	1553	760	56803	6.103842543724602e-104	4.3308791684711995e-06	9.094846253789519e-05
F32	F43	234	1507	1600	56803	1.2074465057499188e-103	4.3308791684711995e-06	9.527934170636639e-05
F19	F32	145	526	1507	56803	3.159059902833515e-103	4.3308791684711995e-06	9.961022087483759e-05
F13	F19	83	310	526	56803	2.8174660474006107e-96	4.3308791684711995e-06	0.00010394110004330879
M51	M54	131	570	1202	56803	8.623857807812837e-95	4.3308791684711995e-06	0.00010827197921177999
F13	F60	101	310	1135	56803	2.5825344434752645e-92	4.3308791684711995e-06	0.00011260285838025119
C73	E89	40	155	58	56803	4.818910306260509e-91	4.3308791684711995e-06	0.00011693373754872239
K01	K07	120	774	756	56803	1.0320571275447744e-89	4.3308791684711995e-06	0.00012126461671719359
F10	F43	180	1015	1600	56803	6.74881408782866e-89	4.3308791684711995e-06	0.00012559549588566477
N77	B37	34	35	169	56803	1.2567093536332208e-86	4.3308791684711995e-06	0.00012992637505413598
N13	N23	75	661	242	56803	1.324169598242351e-84	4.3308791684711995e-06	0.0001342572542226072
B18	F11	54	170	304	56803	8.361740935721044e-81	4.3308791684711995e-06	0.00013858813339107838
F33	F43	142	712	1600	56803	5.8497697390590694e-77	4.3308791684711995e-06	0.00014291901255954957
I26	I80	53	226	248	56803	2.1503312118984962e-76	4.3308791684711995e-06	0.00014724989172802078
H91	H93	60	338	269	56803	2.4883393757522864e-76	4.3308791684711995e-06	0.000151580770896492
F10	F13	85	1015	310	56803	1.1750281774093986e-74	4.3308791684711995e-06	0.00015591165006496318
F11	F12	52	304	188	56803	3.831477143446973e-74	4.3308791684711995e-06	0.00016024252923343437
N80	N83	229	1553	2073	56803	4.389436368047759e-74	4.3308791684711995e-06	0.00016457340840190558
F33	F50	94	712	619	56803	1.3505736153408126e-71	4.3308791684711995e-06	0.0001689042875703768
K80	K81	73	1598	153	56803	8.911371203750483e-71	4.3308791684711995e-06	0.00017323516673884798
F10	F19	97	1015	526	56803	1.8171075895188086e-67	4.3308791684711995e-06	0.00017756604590731917
F33	F61	62	712	204	56803	2.5303095792351858e-67	4.3308791684711995e-06	0.00018189692507579038
N70	N73	79	780	410	56803	2.0983454514185704e-65	4.3308791684711995e-06	0.0001862278042442616
F32	F50	118	1507	619	56803	1.600378591954297e-64	4.3308791684711995e-06	0.00019055868341273278
F12	F13	46	188	310	56803	2.2942129609741634e-62	4.3308791684711995e-06	0.00019488956258120396
F17	F19	89	918	526	56803	2.5963124763056563e-62	4.3308791684711995e-06	0.00019922044174967518
F12	F60	65	188	1135	56803	1.4884832359592378e-61	4.3308791684711995e-06	0.0002035513209181464
K10	K12	35	93	223	56803	1.4627750851249163e-60	4.3308791684711995e-06	0.00020788220008661758
B94	F19	30	33	526	56803	2.2988119675727054e-58	4.3308791684711995e-06	0.00021221307925508876
E66	I10	92	1386	432	56803	6.01421025123285e-58	4.3308791684711995e-06	0.00021654395842355997
N18	I10	38	91	432	56803	2.4255820529666163e-56	4.3308791684711995e-06	0.0002208748375920312
G55	M51	32	42	570	56803	6.229921939695602e-56	4.3308791684711995e-06	0.00022520571676050237
N80	K66	74	1553	249	56803	1.3635836982290363e-54	4.3308791684711995e-06	0.00022953659592897356
K60	K61	41	264	212	56803	5.132373252209405e-54	4.3308791684711995e-06	0.00023386747509744477
K80	K85	66	1598	188	56803	2.206909374604578e-53	4.3308791684711995e-06	0.00023819835426591599
N10	N39	130	800	1816	56803	4.281988544684439e-53	4.3308791684711995e-06	0.00024252923343438717
F11	F17	64	304	918	56803	3.2973456175501955e-51	4.3308791684711995e-06	0.00024686011260285836
F32	F41	110	1507	721	56803	4.548628075236148e-50	4.3308791684711995e-06	0.00025119099177132954
E66	E78	80	1386	386	56803	1.536717680106255e-49	4.3308791684711995e-06	0.0002555218709398008
N73	N97	82	410	1415	56803	8.503440979278199e-49	4.3308791684711995e-06	0.00025985275010827197
C73	E04	39	155	405	56803	9.484518892506481e-49	4.3308791684711995e-06	0.00026418362927674316
E73	E74	27	150	94	56803	4.826966949969938e-48	4.3308791684711995e-06	0.0002685145084452144
E86	A09	50	115	1478	56803	5.915009758408137e-48	4.3308791684711995e-06	0.0002728453876136856
F17	F32	119	918	1507	56803	1.4928001877317906e-46	4.3308791684711995e-06	0.00027717626678215677
F17	F60	104	918	1135	56803	1.6317945280452598e-46	4.3308791684711995e-06	0.00028150714595062795
E10	E14	29	272	83	56803	1.7606129110439075e-46	4.3308791684711995e-06	0.00028583802511909914
F20	F23	40	301	263	56803	7.731177442245753e-46	4.3308791684711995e-06	0.0002901689042875704
F13	F17	60	310	918	56803	8.751908490498552e-46	4.3308791684711995e-06	0.00029449978345604157
F60	F61	55	1135	204	56803	1.5284936059792502e-45	4.3308791684711995e-06	0.00029883066262451275
F12	F19	42	188	526	56803	3.599138110906363e-45	4.3308791684711995e-06	0.000303161541792984
F12	F14	22	188	41	56803	1.7673003069336204e-44	4.3308791684711995e-06	0.0003074924209614552
I84	K60	41	356	264	56803	2.8613503572014163e-44	4.3308791684711995e-06	0.00031182330012992636
K01	K04	44	774	166	56803	1.7489427232016891e-43	4.3308791684711995e-06	0.00031615417929839755
F19	F43	90	526	1600	56803	3.4378648121235745e-43	4.3308791684711995e-06	0.00032048505846686874
F43	F50	96	1600	619	56803	3.244079521043e-42	4.3308791684711995e-06	0.00032481593763534
K01	K05	28	774	43	56803	4.445477012759976e-42	4.3308791684711995e-06	0.00032914681680381116
F11	B17	25	304	59	56803	1.5329915321588226e-41	4.3308791684711995e-06	0.00033347769597228235
B18	F13	33	170	310	56803	3.1407948007963664e-41	4.3308791684711995e-06	0.0003378085751407536
F10	F12	48	1015	188	56803	6.344527052261206e-41	4.3308791684711995e-06	0.0003421394543092248
E87	F50	43	222	619	56803	2.5585966444905153e-40	4.3308791684711995e-06	0.00034647033347769596
F13	F43	68	310	1600	56803	5.018469109431538e-40	4.3308791684711995e-06	0.00035080121264616715
