ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
J32	J34	390	870	1371	66000	0.0	2.6602819898909287e-06	2.6602819898909287e-06
N80	N97	606	2385	2687	66000	4.041564887e-314	2.6602819898909287e-06	5.320563979781857e-06
N13	N20	235	583	883	66000	5.325637217222143e-288	2.6602819898909287e-06	7.980845969672786e-06
M51	M54	450	1568	2266	66000	5.891066390119673e-287	2.6602819898909287e-06	1.0641127959563715e-05
J34	M95	187	1371	266	66000	1.2256342795473595e-252	2.6602819898909287e-06	1.3301409949454644e-05
F33	F60	265	1326	863	66000	4.0739146037879676e-237	2.6602819898909287e-06	1.596169193934557e-05
K21	K44	177	663	515	66000	3.9640695167799356e-224	2.6602819898909287e-06	1.86219739292365e-05
K21	K29	258	663	1884	66000	1.8954448391640042e-220	2.6602819898909287e-06	2.128225591912743e-05
G55	M51	149	182	1568	66000	7.998806387705953e-210	2.6602819898909287e-06	2.394253790901836e-05
K29	K44	220	1884	515	66000	3.315350221359295e-198	2.6602819898909287e-06	2.6602819898909288e-05
N80	N94	271	2385	798	66000	3.759824186403432e-185	2.6602819898909287e-06	2.9263101888800217e-05
F10	F13	165	1177	377	66000	5.122460289973027e-185	2.6602819898909287e-06	3.192338387869114e-05
F10	F60	215	1177	863	66000	7.282525832050626e-181	2.6602819898909287e-06	3.458366586858207e-05
F43	F60	229	1687	863	66000	4.199153854309353e-163	2.6602819898909287e-06	3.7243947858473e-05
E66	I10	274	1916	1287	66000	6.552076504750553e-154	2.6602819898909287e-06	3.990422984836393e-05
F10	F17	204	1177	1032	66000	1.6524452667471138e-149	2.6602819898909287e-06	4.256451183825486e-05
F10	F33	222	1177	1326	66000	7.060612661123539e-147	2.6602819898909287e-06	4.522479382814579e-05
N20	N23	119	883	283	66000	9.085749242634594e-146	2.6602819898909287e-06	4.788507581803672e-05
F11	F13	83	160	377	66000	2.3014999083141545e-144	2.6602819898909287e-06	5.0545357807927646e-05
F10	F43	241	1177	1687	66000	1.2820227719514274e-143	2.6602819898909287e-06	5.3205639797818576e-05
F32	F33	258	1837	1326	66000	3.838808770784099e-139	2.6602819898909287e-06	5.5865921787709505e-05
E78	I10	167	705	1287	66000	6.307073744942785e-129	2.6602819898909287e-06	5.8526203777600434e-05
F33	F43	238	1326	1687	66000	2.897346700699211e-128	2.6602819898909287e-06	6.118648576749136e-05
F33	F41	183	1326	956	66000	1.5667476656398704e-121	2.6602819898909287e-06	6.384676775738229e-05
N92	D25	309	2517	1702	66000	1.3061158309048434e-119	2.6602819898909287e-06	6.650704974727321e-05
