ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
M51	M54	655	1859	3199	55958	0.0	9.001710324961742e-07	9.001710324961742e-07
E78	I10	4796	6827	16486	55958	0.0	9.001710324961742e-07	1.8003420649923485e-06
E78	I25	1472	6827	3147	55958	0.0	9.001710324961742e-07	2.7005130974885226e-06
E66	I10	2433	3206	16486	55958	0.0	9.001710324961742e-07	3.600684129984697e-06
I21	I25	396	567	3147	55958	0.0	9.001710324961742e-07	4.500855162480871e-06
I20	I25	625	1187	3147	55958	0.0	9.001710324961742e-07	5.401026194977045e-06
K29	K44	539	3145	1177	55958	0.0	9.001710324961742e-07	6.30119722747322e-06
K21	K44	370	1215	1177	55958	0.0	9.001710324961742e-07	7.201368259969394e-06
I10	I25	2280	16486	3147	55958	0.0	9.001710324961742e-07	8.101539292465568e-06
E11	I10	2634	3613	16486	55958	0.0	9.001710324961742e-07	9.001710324961742e-06
E11	E66	856	3613	3206	55958	7.91440762354e-312	9.001710324961742e-07	9.901881357457916e-06
M23	M94	268	2327	330	55958	1.52351821973764e-310	9.001710324961742e-07	1.080205238995409e-05
I10	I48	1367	16486	2058	55958	1.5213170595229156e-273	9.001710324961742e-07	1.1702223422450265e-05
M17	M23	629	3017	2327	55958	1.4712535264628396e-272	9.001710324961742e-07	1.260239445494644e-05
E66	E78	1132	3206	6827	55958	1.4350269197426152e-271	9.001710324961742e-07	1.3502565487442614e-05
M17	M22	304	3017	458	55958	1.583757726558567e-270	9.001710324961742e-07	1.4402736519938788e-05
F00	G30	101	101	202	55958	1.0870446837891992e-260	9.001710324961742e-07	1.530290755243496e-05
E11	E78	1189	3613	6827	55958	4.491080051673028e-254	9.001710324961742e-07	1.6203078584931135e-05
K21	K29	455	1215	3145	55958	6.10499524882171e-253	9.001710324961742e-07	1.710324961742731e-05
H25	H35	446	3758	1004	55958	4.743424665451725e-252	9.001710324961742e-07	1.8003420649923484e-05
E78	I20	615	6827	1187	55958	7.295648901267672e-248	9.001710324961742e-07	1.8903591682419658e-05
C78	C79	161	501	353	55958	3.6862325564903073e-239	9.001710324961742e-07	1.9803762714915832e-05
E14	I10	933	1284	16486	55958	1.8297964134249022e-229	9.001710324961742e-07	2.0703933747412007e-05
I10	I20	878	16486	1187	55958	7.807497404411594e-225	9.001710324961742e-07	2.160410477990818e-05
K57	K63	458	2711	1652	55958	1.1669795006510916e-219	9.001710324961742e-07	2.2504275812404356e-05
N13	N20	149	354	494	55958	7.795923587444701e-215	9.001710324961742e-07	2.340444684490053e-05
F32	I10	1439	2448	16486	55958	9.320112289474555e-209	9.001710324961742e-07	2.4304617877396704e-05
F17	J44	279	891	1822	55958	1.2252959791266517e-193	9.001710324961742e-07	2.520478890989288e-05
E11	E14	431	3613	1284	55958	2.851350872074608e-192	9.001710324961742e-07	2.6104959942389053e-05
H25	H52	217	3758	288	55958	2.9814093516838437e-191	9.001710324961742e-07	2.7005130974885227e-05
I48	I50	274	2058	838	55958	3.075887374804216e-181	9.001710324961742e-07	2.79053020073814e-05
M47	M54	400	1315	3199	55958	5.598405184057659e-180	9.001710324961742e-07	2.8805473039877576e-05
M42	M54	253	513	3199	55958	1.551942726610934e-172	9.001710324961742e-07	2.970564407237375e-05
M48	M51	235	690	1859	55958	8.081063610694339e-170	9.001710324961742e-07	3.060581510486992e-05
I84	K57	319	1021	2711	55958	7.946536287738111e-168	9.001710324961742e-07	3.15059861373661e-05
E11	I25	651	3613	3147	55958	6.742473861173216e-167	9.001710324961742e-07	3.240615716986227e-05
K29	K57	545	3145	2711	55958	1.2378468019386202e-159	9.001710324961742e-07	3.330632820235845e-05
E78	E79	367	6827	696	55958	5.809529562220084e-150	9.001710324961742e-07	3.420649923485462e-05
I42	I50	136	387	838	55958	1.2779257440834068e-147	9.001710324961742e-07	3.5106670267350796e-05
N84	N95	201	1162	932	55958	9.128647739575584e-143	9.001710324961742e-07	3.600684129984697e-05
