ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
J34	M95	82	841	116	31953	5.847257615771388e-103	1.2360939431396786e-05	1.2360939431396786e-05
F32	F43	140	488	948	31953	2.0041464239238278e-97	1.2360939431396786e-05	2.4721878862793572e-05
F91	F92	80	385	339	31953	5.766743559792589e-80	1.2360939431396786e-05	3.708281829419036e-05
E66	I10	84	599	262	31953	1.4917204073170345e-79	1.2360939431396786e-05	4.9443757725587144e-05
J32	J34	94	282	841	31953	9.018839931956327e-77	1.2360939431396786e-05	6.180469715698394e-05
F32	F60	66	488	231	31953	1.0167953822203899e-64	1.2360939431396786e-05	7.416563658838072e-05
H65	J35	105	237	1904	31953	1.9134393447401514e-64	1.2360939431396786e-05	8.65265760197775e-05
N20	N23	31	108	60	31953	2.2687239448982993e-62	1.2360939431396786e-05	9.888751545117429e-05
N13	N20	36	129	108	31953	1.430047719951014e-60	1.2360939431396786e-05	0.00011124845488257108
J34	J35	182	841	1904	31953	5.0207615917252743e-54	1.2360939431396786e-05	0.00012360939431396787
F11	F19	36	80	274	31953	1.9090699434849117e-53	1.2360939431396786e-05	0.00013597033374536464
K21	K29	52	154	560	31953	3.386063331174489e-52	1.2360939431396786e-05	0.00014833127317676143
N47	N48	84	1513	229	31953	9.955387349933604e-52	1.2360939431396786e-05	0.00016069221260815822
E86	A08	53	190	519	31953	6.074973348179184e-50	1.2360939431396786e-05	0.000173053152039555
G80	G82	28	86	103	31953	8.947627096359522e-50	1.2360939431396786e-05	0.00018541409147095178
F11	F13	25	80	68	31953	3.4199855635019634e-49	1.2360939431396786e-05	0.00019777503090234857
E66	K76	46	599	115	31953	5.986807052849707e-49	1.2360939431396786e-05	0.00021013597033374537
F43	F91	84	948	385	31953	8.2365605294042e-48	1.2360939431396786e-05	0.00022249690976514216
H83	H93	35	128	211	31953	4.941998762783552e-47	1.2360939431396786e-05	0.00023485784919653893
F81	F90	41	133	386	31953	3.53504559137354e-46	1.2360939431396786e-05	0.00024721878862793575
F13	F19	30	68	274	31953	2.6129573848969096e-44	1.2360939431396786e-05	0.0002595797280593325
H91	H93	34	146	211	31953	5.0115746206871674e-43	1.2360939431396786e-05	0.0002719406674907293
N13	N23	24	129	60	31953	1.1633579630487287e-42	1.2360939431396786e-05	0.0002843016069221261
K01	K07	43	329	216	31953	1.9984379239487936e-42	1.2360939431396786e-05	0.00029666254635352286
F90	F91	55	386	385	31953	4.3694070568207196e-42	1.2360939431396786e-05	0.00030902348578491963
F32	F33	34	488	74	31953	4.419380274482474e-42	1.2360939431396786e-05	0.00032138442521631645
J30	J45	44	178	460	31953	2.3764734144483234e-41	1.2360939431396786e-05	0.0003337453646477132
F43	F60	62	948	231	31953	3.2276310392153667e-41	1.2360939431396786e-05	0.00034610630407911
E66	E78	36	599	81	31953	1.3926670147723074e-40	1.2360939431396786e-05	0.0003584672435105068
F81	F91	37	133	385	31953	6.603251829388853e-40	1.2360939431396786e-05	0.00037082818294190356
F19	F60	39	274	231	31953	9.203128961992926e-39	1.2360939431396786e-05	0.0003831891223733004
F12	F19	32	128	274	31953	8.201137804751079e-38	1.2360939431396786e-05	0.00039555006180469715
F43	F92	69	948	339	31953	2.4915258605401004e-37	1.2360939431396786e-05	0.0004079110012360939
E10	E16	22	301	36	31953	4.160504770094925e-36	1.2360939431396786e-05	0.00042027194066749073
K29	K44	29	560	61	31953	7.332838861508224e-35	1.2360939431396786e-05	0.0004326328800988875
M23	M94	27	654	48	31953	2.1951242336108023e-33	1.2360939431396786e-05	0.0004449938195302843
E10	E14	24	301	61	31953	4.089681397614223e-33	1.2360939431396786e-05	0.0004573547589616811
F10	F60	68	1645	231	31953	6.723286020111202e-33	1.2360939431396786e-05	0.00046971569839307785
F19	F32	45	274	488	31953	9.454862035590796e-33	1.2360939431396786e-05	0.00048207663782447467
K21	K44	20	154	61	31953	6.705004286322804e-32	1.2360939431396786e-05	0.0004944375772558715
F33	F60	23	74	231	31953	1.118119713581578e-31	1.2360939431396786e-05	0.0005067985166872682
F10	F12	50	1645	128	31953	4.155537771494978e-31	1.2360939431396786e-05	0.000519159456118665
E23	E34	19	49	190	31953	3.2930737817185645e-30	1.2360939431396786e-05	0.0005315203955500618
A39	G01	9	26	9	31953	3.2691518997027666e-29	1.2360939431396786e-05	0.0005438813349814586
K02	K04	20	149	90	31953	2.435209110041147e-28	1.2360939431396786e-05	0.0005562422744128554
E30	E34	16	31	190	31953	3.563219733954952e-28	1.2360939431396786e-05	0.0005686032138442522
B18	F19	20	53	274	31953	3.596742789906932e-28	1.2360939431396786e-05	0.0005809641532756489
C40	C41	11	31	28	31953	2.030924330877141e-27	1.2360939431396786e-05	0.0005933250927070457
E86	A09	48	190	1134	31953	2.237374928234658e-27	1.2360939431396786e-05	0.0006056860321384425
E73	E74	13	59	46	31953	6.796427076064064e-26	1.2360939431396786e-05	0.0006180469715698393
F81	F98	21	133	158	31953	8.804427907956398e-26	1.2360939431396786e-05	0.0006304079110012361
M51	M54	19	62	281	31953	1.4362806787005354e-24	1.2360939431396786e-05	0.0006427688504326329
F90	F98	28	386	158	31953	1.6800045139010354e-24	1.2360939431396786e-05	0.0006551297898640296
H50	H52	17	125	89	31953	2.2769687881178803e-24	1.2360939431396786e-05	0.0006674907292954264
G40	G82	30	780	103	31953	3.807119921055514e-24	1.2360939431396786e-05	0.0006798516687268232
F12	F60	22	128	231	31953	4.381509725753175e-24	1.2360939431396786e-05	0.00069221260815822
F70	F91	25	121	385	31953	8.8790314563104e-24	1.2360939431396786e-05	0.0007045735475896168
F81	F93	18	133	123	31953	5.190869986924887e-23	1.2360939431396786e-05	0.0007169344870210136
C62	C78	8	23	14	31953	5.454434560700738e-23	1.2360939431396786e-05	0.0007292954264524104
M23	M65	25	654	82	31953	9.64230058302232e-23	1.2360939431396786e-05	0.0007416563658838071
F82	F90	19	58	386	31953	1.434716934842513e-22	1.2360939431396786e-05	0.000754017305315204
H65	H90	18	237	77	31953	2.6625066855702363e-22	1.2360939431396786e-05	0.0007663782447466008
F90	F92	35	386	339	31953	3.3099413485895116e-22	1.2360939431396786e-05	0.0007787391841779975
G93	J96	15	76	128	31953	1.088264404097985e-21	1.2360939431396786e-05	0.0007911001236093943
H50	H53	14	125	63	31953	2.9523603083893385e-21	1.2360939431396786e-05	0.0008034610630407911
E78	I10	18	81	262	31953	4.4838131630955906e-21	1.2360939431396786e-05	0.0008158220024721878
F83	G40	26	93	780	31953	1.3334879009212422e-20	1.2360939431396786e-05	0.0008281829419035846
K35	K65	28	3090	39	31953	2.0167051969601896e-20	1.2360939431396786e-05	0.0008405438813349815
G40	G41	18	780	35	31953	2.4032702512352857e-20	1.2360939431396786e-05	0.0008529048207663782
C62	C77	7	23	12	31953	2.873109058445311e-20	1.2360939431396786e-05	0.000865265760197775
E78	E79	11	81	41	31953	4.0675745187447974e-20	1.2360939431396786e-05	0.0008776266996291718
C91	C95	7	59	7	31953	5.059168862204885e-20	1.2360939431396786e-05	0.0008899876390605686
F80	F81	13	60	133	31953	2.699472251636155e-19	1.2360939431396786e-05	0.0009023485784919654
K26	K29	17	43	560	31953	3.016743882144463e-19	1.2360939431396786e-05	0.0009147095179233622
H71	H90	11	53	77	31953	5.304685546635916e-19	1.2360939431396786e-05	0.000927070457354759
J33	J34	20	51	841	31953	7.332815423159948e-19	1.2360939431396786e-05	0.0009394313967861557
F81	F92	21	133	339	31953	9.363310165701066e-19	1.2360939431396786e-05	0.0009517923362175525
F12	F13	13	128	68	31953	9.525930940246656e-19	1.2360939431396786e-05	0.0009641532756489493
J45	L20	21	460	100	31953	9.583383661261943e-19	1.2360939431396786e-05	0.000976514215080346
C71	G93	11	57	76	31953	1.0937535302674754e-18	1.2360939431396786e-05	0.000988875154511743
F10	F43	117	1645	948	31953	1.4683834206073506e-18	1.2360939431396786e-05	0.0010012360939431397
