ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
J32	J34	312	779	1158	59415	0.0	3.429355281207133e-06	3.429355281207133e-06
N13	N20	227	510	718	59415	1.269146647176446e-303	3.429355281207133e-06	6.858710562414266e-06
M51	M54	457	1666	2057	59415	1.8100649587525493e-282	3.429355281207133e-06	1.0288065843621398e-05
N80	N97	386	1694	1841	59415	1.350421254554596e-222	3.429355281207133e-06	1.3717421124828532e-05
E66	I10	308	1571	1205	59415	6.639292517806187e-213	3.429355281207133e-06	1.7146776406035666e-05
J34	M95	140	1158	186	59415	3.2435011517753137e-200	3.429355281207133e-06	2.0576131687242797e-05
K21	K44	170	617	619	59415	6.371969097670849e-194	3.429355281207133e-06	2.400548696844993e-05
N20	N23	145	718	318	59415	2.1386158332368633e-192	3.429355281207133e-06	2.7434842249657064e-05
N92	D25	432	2693	1801	59415	1.3607848170979257e-190	3.429355281207133e-06	3.08641975308642e-05
H91	H93	136	449	412	59415	1.147332470167887e-187	3.429355281207133e-06	3.429355281207133e-05
K29	K44	227	1859	619	59415	6.698938309138669e-178	3.429355281207133e-06	3.7722908093278466e-05
K21	K29	214	617	1859	59415	1.586413566426578e-161	3.429355281207133e-06	4.115226337448559e-05
N73	N80	211	738	1694	59415	5.6998589284422876e-148	3.429355281207133e-06	4.458161865569273e-05
F32	F43	256	1838	1231	59415	8.657365093733071e-135	3.429355281207133e-06	4.801097393689986e-05
N13	N23	103	510	318	59415	2.607294886945061e-133	3.429355281207133e-06	5.1440329218106995e-05
F10	F60	128	839	444	59415	3.907043703069299e-129	3.429355281207133e-06	5.486968449931413e-05
F10	F32	203	839	1838	59415	1.1624815468217817e-119	3.429355281207133e-06	5.829903978052126e-05
N84	N92	290	1277	2693	59415	2.024782560478131e-119	3.429355281207133e-06	6.17283950617284e-05
M23	M94	95	1235	165	59415	4.643934366099051e-115	3.429355281207133e-06	6.515775034293553e-05
E66	E78	186	1571	867	59415	9.86525994420787e-112	3.429355281207133e-06	6.858710562414266e-05
F32	F60	148	1838	444	59415	4.597074589692473e-109	3.429355281207133e-06	7.20164609053498e-05
E11	E66	117	279	1571	59415	7.715694985758644e-108	3.429355281207133e-06	7.544581618655693e-05
F32	F41	183	1838	796	59415	1.4901451336710108e-103	3.429355281207133e-06	7.887517146776407e-05
F32	F33	159	1838	595	59415	1.4325486754286528e-100	3.429355281207133e-06	8.230452674897119e-05
F10	F43	155	839	1231	59415	1.5592904595918195e-98	3.429355281207133e-06	8.573388203017832e-05
F43	F60	118	1231	444	59415	2.995774252718654e-94	3.429355281207133e-06	8.916323731138545e-05
N73	N97	162	738	1841	59415	3.50180947659411e-88	3.429355281207133e-06	9.259259259259259e-05
F10	K70	52	839	62	59415	1.192525899944926e-86	3.429355281207133e-06	9.602194787379972e-05
F33	F60	88	595	444	59415	3.224567995080674e-86	3.429355281207133e-06	9.945130315500686e-05
N85	N92	164	556	2693	59415	1.4552548828179657e-85	3.429355281207133e-06	0.00010288065843621399
N80	N83	262	1694	2288	59415	2.3299650283285377e-84	3.429355281207133e-06	0.00010631001371742112
F10	F13	74	839	198	59415	3.7894638616308537e-84	3.429355281207133e-06	0.00010973936899862826
I84	K62	77	822	233	59415	2.4283504002356624e-83	3.429355281207133e-06	0.00011316872427983539
M22	M23	83	211	1235	59415	1.8382369226007362e-82	3.429355281207133e-06	0.00011659807956104253
N73	N83	171	738	2288	59415	3.1841861044133753e-82	3.429355281207133e-06	0.00012002743484224966
N70	N73	113	879	738	59415	1.9740636214588155e-78	3.429355281207133e-06	0.0001234567901234568
K60	K61	54	326	187	59415	1.8783444996168504e-77	3.429355281207133e-06	0.0001268861454046639
F13	F60	59	198	444	59415	3.812527835656082e-77	3.429355281207133e-06	0.00013031550068587106
E11	I10	87	279	1205	59415	4.961611772579785e-77	3.429355281207133e-06	0.00013374485596707818
K80	K81	91	2226	193	59415	3.430973264895368e-76	3.429355281207133e-06	0.00013717421124828533
E78	I10	133	867	1205	59415	5.729307006627763e-75	3.429355281207133e-06	0.00014060356652949245
E66	K76	107	1571	421	59415	3.3815396296394594e-72	3.429355281207133e-06	0.0001440329218106996
N80	N94	127	1694	593	59415	5.198856136477366e-72	3.429355281207133e-06	0.00014746227709190672
N77	B37	29	31	198	59415	7.793165610063277e-71	3.429355281207133e-06	0.00015089163237311386
F10	F33	94	839	595	59415	2.7081499805242158e-68	3.429355281207133e-06	0.00015432098765432098
F33	F43	107	595	1231	59415	1.488193294277406e-66	3.429355281207133e-06	0.00015775034293552813
N92	D50	161	2693	704	59415	2.083600977423484e-66	3.429355281207133e-06	0.00016117969821673525
E11	E78	68	279	867	59415	6.508392410155005e-62	3.429355281207133e-06	0.00016460905349794237
N80	K66	98	1694	402	59415	2.7728482048926763e-61	3.429355281207133e-06	0.00016803840877914952
M53	M54	117	522	2057	59415	1.3277058900867428e-59	3.429355281207133e-06	0.00017146776406035664
M23	M24	66	1235	203	59415	2.6962855242750254e-59	3.429355281207133e-06	0.0001748971193415638
