ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
E78	I10	816	2333	4536	67099	0.0	1.8145527127563057e-06	1.8145527127563057e-06
K21	K44	320	1035	927	67099	0.0	1.8145527127563057e-06	3.6291054255126114e-06
M51	M54	645	2319	3038	67099	0.0	1.8145527127563057e-06	5.443658138268917e-06
E66	I10	898	2220	4536	67099	0.0	1.8145527127563057e-06	7.258210851025223e-06
N92	D25	1956	6518	5216	67099	0.0	1.8145527127563057e-06	9.07276356378153e-06
N13	N20	207	403	688	67099	3.7374247097300735e-308	1.8145527127563057e-06	1.0887316276537835e-05
K29	K44	387	2597	927	67099	6.976016388511489e-296	1.8145527127563057e-06	1.270186898929414e-05
J32	J34	226	653	727	67099	1.0333506705078483e-281	1.8145527127563057e-06	1.4516421702050446e-05
N85	N92	599	1309	6518	67099	6.198897172564583e-257	1.8145527127563057e-06	1.633097441480675e-05
K21	K29	356	1035	2597	67099	1.5697554754664075e-236	1.8145527127563057e-06	1.814552712756306e-05
H91	H93	163	509	448	67099	2.151262462312209e-233	1.8145527127563057e-06	1.9960079840319362e-05
E11	I10	388	809	4536	67099	1.1321015153154078e-231	1.8145527127563057e-06	2.177463255307567e-05
M23	M94	194	2019	299	67099	2.3347946134506117e-218	1.8145527127563057e-06	2.3589185265831973e-05
E78	F17	360	2333	1356	67099	5.111457070161152e-212	1.8145527127563057e-06	2.540373797858828e-05
N39	N81	268	2320	664	67099	1.9247711554793364e-211	1.8145527127563057e-06	2.7218290691344584e-05
I20	I25	146	388	551	67099	9.066972634243335e-205	1.8145527127563057e-06	2.903284340410089e-05
N84	N92	782	2521	6518	67099	9.488796230882333e-205	1.8145527127563057e-06	3.0847396116857195e-05
I10	I25	304	4536	551	67099	1.5932021842239621e-204	1.8145527127563057e-06	3.26619488296135e-05
E78	I25	243	2333	551	67099	3.3178992991740407e-202	1.8145527127563057e-06	3.447650154236981e-05
F10	F32	334	1130	2685	67099	1.045771444408814e-192	1.8145527127563057e-06	3.629105425512612e-05
F10	K70	125	1130	162	67099	4.856122629927499e-189	1.8145527127563057e-06	3.810560696788242e-05
E66	E78	419	2220	2333	67099	1.8598373263438263e-186	1.8145527127563057e-06	3.9920159680638724e-05
I21	I25	113	194	551	67099	6.143901852118445e-186	1.8145527127563057e-06	4.173471239339503e-05
M17	M23	203	455	2019	67099	1.2017962578476873e-182	1.8145527127563057e-06	4.354926510615134e-05
N20	N23	118	688	250	67099	1.006044160011254e-166	1.8145527127563057e-06	4.5363817818907646e-05
M23	M24	168	2019	325	67099	7.209061879158814e-165	1.8145527127563057e-06	4.7178370531663946e-05
M22	M23	158	278	2019	67099	5.103875542018983e-164	1.8145527127563057e-06	4.8992923244420254e-05
E11	E66	243	809	2220	67099	2.136825886235139e-160	1.8145527127563057e-06	5.080747595717656e-05
F32	F33	266	2685	910	67099	2.8345257672890023e-151	1.8145527127563057e-06	5.262202866993287e-05
N92	D50	478	6518	1355	67099	8.366198279634852e-148	1.8145527127563057e-06	5.443658138268917e-05
M53	M54	265	903	3038	67099	8.79434796094327e-138	1.8145527127563057e-06	5.6251134095445476e-05
F32	F43	267	2685	1045	67099	9.414198263837018e-136	1.8145527127563057e-06	5.806568680820178e-05
E11	E78	224	809	2333	67099	1.7011161878324926e-134	1.8145527127563057e-06	5.988023952095809e-05
C78	C79	64	181	136	67099	4.833222264836297e-131	1.8145527127563057e-06	6.169479223371439e-05
F10	F33	166	1130	910	67099	5.168122427197941e-119	1.8145527127563057e-06	6.35093449464707e-05
F10	F13	100	1130	220	67099	2.95597518343302e-116	1.8145527127563057e-06	6.5323897659227e-05
N73	N83	172	553	2342	67099	4.832619621481e-112	1.8145527127563057e-06	6.713845037198331e-05
E11	E14	105	809	373	67099	1.669506719751094e-111	1.8145527127563057e-06	6.895300308473962e-05
E78	I20	148	2333	388	67099	1.974850873567183e-111	1.8145527127563057e-06	7.076755579749593e-05
N80	D25	330	1065	5216	67099	1.109218359557664e-110	1.8145527127563057e-06	7.258210851025223e-05
N13	N23	76	403	250	67099	9.308302648223493e-108	1.8145527127563057e-06	7.439666122300854e-05
F17	J44	135	1356	535	67099	9.466627905985332e-106	1.8145527127563057e-06	7.621121393576483e-05
F32	F41	213	2685	866	67099	1.9734037967952233e-104	1.8145527127563057e-06	7.802576664852114e-05
F10	F43	161	1130	1045	67099	1.8766465599563365e-103	1.8145527127563057e-06	7.984031936127745e-05
I10	I20	179	4536	388	67099	8.706310225137475e-103	1.8145527127563057e-06	8.165487207403376e-05
D25	D50	364	5216	1355	67099	1.455499362988386e-101	1.8145527127563057e-06	8.346942478679006e-05
N70	N73	107	708	553	67099	5.5154355330429404e-101	1.8145527127563057e-06	8.528397749954637e-05
E14	I10	174	373	4536	67099	6.154755824779884e-101	1.8145527127563057e-06	8.709853021230268e-05
F32	M54	398	2685	3038	67099	4.749991709117719e-100	1.8145527127563057e-06	8.891308292505898e-05
E66	K76	192	2220	869	67099	9.28483796482645e-100	1.8145527127563057e-06	9.072763563781529e-05
J34	M95	61	727	91	67099	7.668764593819324e-98	1.8145527127563057e-06	9.254218835057159e-05
F17	I10	331	1356	4536	67099	2.0583257777154903e-96	1.8145527127563057e-06	9.435674106332789e-05
I84	K62	108	1148	407	67099	7.440438631047458e-95	1.8145527127563057e-06	9.61712937760842e-05
F10	F17	165	1130	1356	67099	1.0067806399297382e-89	1.8145527127563057e-06	9.798584648884051e-05
E78	K76	185	2333	869	67099	1.63330533370427e-89	1.8145527127563057e-06	9.980039920159681e-05
K80	K81	107	2571	224	67099	4.57744928777911e-89	1.8145527127563057e-06	0.00010161495191435312
F32	F60	119	2685	286	67099	5.787839402755652e-88	1.8145527127563057e-06	0.00010342950462710943
C50	C79	75	1452	136	67099	1.7283048359635998e-87	1.8145527127563057e-06	0.00010524405733986574
F33	F60	83	910	286	67099	5.988707304891409e-85	1.8145527127563057e-06	0.00010705861005262204
M42	M54	126	317	3038	67099	1.1464362805186696e-83	1.8145527127563057e-06	0.00010887316276537834
F10	F60	87	1130	286	67099	8.319508082625445e-83	1.8145527127563057e-06	0.00011068771547813464
E78	E79	93	2333	193	67099	7.818623536287248e-82	1.8145527127563057e-06	0.00011250226819089095
N73	N80	106	553	1065	67099	1.462455225211743e-80	1.8145527127563057e-06	0.00011431682090364726
M42	M51	112	317	2319	67099	2.010868681517135e-80	1.8145527127563057e-06	0.00011613137361640357
I26	I80	64	282	416	67099	2.276616557893719e-80	1.8145527127563057e-06	0.00011794592632915987
N92	N94	194	6518	442	67099	9.224091503023406e-79	1.8145527127563057e-06	0.00011976047904191618
N83	D25	460	2342	5216	67099	1.7495495372003474e-78	1.8145527127563057e-06	0.00012157503175467249
C50	C77	74	1452	161	67099	1.8466222824320808e-78	1.8145527127563057e-06	0.00012338958446742878
M54	M99	89	3038	154	67099	8.552624025918656e-78	1.8145527127563057e-06	0.0001252041371801851
E78	I21	90	2333	194	67099	2.4888746306609634e-77	1.8145527127563057e-06	0.0001270186898929414
I10	K76	234	4536	869	67099	5.31116041059695e-77	1.8145527127563057e-06	0.0001288332426056977
N80	N83	187	1065	2342	67099	1.7160769592453517e-75	1.8145527127563057e-06	0.000130647795318454
M53	M62	59	903	135	67099	2.3998707253439787e-73	1.8145527127563057e-06	0.00013246234803121032
F17	I25	108	1356	551	67099	3.791343506858858e-72	1.8145527127563057e-06	0.00013427690074396662
M47	M54	157	616	3038	67099	8.931969941933505e-72	1.8145527127563057e-06	0.00013609145345672293
F33	F43	119	910	1045	67099	1.0256982497181082e-71	1.8145527127563057e-06	0.00013790600616947924
N80	N92	307	1065	6518	67099	1.8987957655397023e-70	1.8145527127563057e-06	0.00013972055888223555
F13	F33	67	220	910	67099	2.9059955315387424e-70	1.8145527127563057e-06	0.00014153511159499185
F43	F60	76	1045	286	67099	5.677739081279501e-70	1.8145527127563057e-06	0.00014334966430774816
C77	C78	41	161	181	67099	9.237268374783967e-70	1.8145527127563057e-06	0.00014516421702050447
I10	I11	92	4536	147	67099	2.496634247809621e-69	1.8145527127563057e-06	0.00014697876973326077
E66	F17	197	2220	1356	67099	4.4235390717905286e-69	1.8145527127563057e-06	0.00014879332244601708
F13	F32	92	220	2685	67099	1.7934538469795886e-68	1.8145527127563057e-06	0.00015060787515877336
M22	M94	52	278	299	67099	2.0990321061472807e-68	1.8145527127563057e-06	0.00015242242787152967
E78	F32	291	2333	2685	67099	2.0512804944776755e-67	1.8145527127563057e-06	0.00015423698058428598
M47	M51	135	616	2319	67099	2.5553211802889917e-67	1.8145527127563057e-06	0.00015605153329704228
I10	I21	102	4536	194	67099	3.377284214069568e-66	1.8145527127563057e-06	0.0001578660860097986
N80	N94	85	1065	442	67099	9.423578634357941e-65	1.8145527127563057e-06	0.0001596806387225549
K80	K85	84	2571	199	67099	1.4924206372822815e-64	1.8145527127563057e-06	0.0001614951914353112
I84	K60	78	1148	334	67099	6.759927511171323e-64	1.8145527127563057e-06	0.0001633097441480675
C50	D05	55	1452	104	67099	4.824709665099836e-63	1.8145527127563057e-06	0.00016512429686082382
M50	M53	88	597	903	67099	7.464281146018799e-63	1.8145527127563057e-06	0.00016693884957358013
E73	E74	28	124	64	67099	1.1561321535064231e-60	1.8145527127563057e-06	0.00016875340228633643
M17	M22	53	455	278	67099	5.269297003582715e-60	1.8145527127563057e-06	0.00017056795499909274
J32	J33	47	653	133	67099	5.739750578387029e-60	1.8145527127563057e-06	0.00017238250771184905
F32	F45	125	2685	522	67099	5.967321419205601e-60	1.8145527127563057e-06	0.00017419706042460535
N70	N83	136	708	2342	67099	7.49852033526412e-60	1.8145527127563057e-06	0.00017601161313736166
N77	B37	22	22	166	67099	1.056444980037173e-58	1.8145527127563057e-06	0.00017782616585011797
F17	I21	64	1356	194	67099	1.093733229112468e-58	1.8145527127563057e-06	0.00017964071856287428
N83	K66	98	2342	366	67099	2.719598384770096e-57	1.8145527127563057e-06	0.00018145527127563058
N84	N85	189	2521	1309	67099	3.31214950457093e-57	1.8145527127563057e-06	0.00018326982398838686
E79	I10	94	193	4536	67099	3.4216381240244993e-57	1.8145527127563057e-06	0.00018508437670114317
E66	G47	101	2220	414	67099	5.434378694559372e-57	1.8145527127563057e-06	0.00018689892941389948
H90	H93	43	158	448	67099	1.9158221490206557e-56	1.8145527127563057e-06	0.00018871348212665579
E14	E66	95	373	2220	67099	1.766442143931436e-55	1.8145527127563057e-06	0.0001905280348394121
I85	K74	22	37	94	67099	1.0663513447048966e-54	1.8145527127563057e-06	0.0001923425875521684
M48	M51	70	181	2319	67099	7.470685689075002e-54	1.8145527127563057e-06	0.0001941571402649247
C50	D48	123	1452	1027	67099	1.4237992659753613e-53	1.8145527127563057e-06	0.00019597169297768101
C50	C78	60	1452	181	67099	1.7260193784536984e-53	1.8145527127563057e-06	0.00019778624569043732
N18	I10	73	122	4536	67099	2.9182065258282625e-53	1.8145527127563057e-06	0.00019960079840319363
M53	M99	49	903	154	67099	7.079540794734034e-53	1.8145527127563057e-06	0.00020141535111594994
C77	C79	31	161	136	67099	9.397189408213207e-53	1.8145527127563057e-06	0.00020322990382870624
J33	J34	44	133	727	67099	1.2718770889320628e-52	1.8145527127563057e-06	0.00020504445654146255
M43	M54	77	189	3038	67099	1.5104490433313017e-52	1.8145527127563057e-06	0.00020685900925421886
M42	M47	55	317	616	67099	1.7368850167631856e-52	1.8145527127563057e-06	0.00020867356196697516
N81	D25	182	664	5216	67099	2.4159662240440603e-52	1.8145527127563057e-06	0.00021048811467973147
M42	M53	62	317	903	67099	3.0971098281128726e-52	1.8145527127563057e-06	0.00021230266739248778
F13	F43	57	220	1045	67099	5.210891866383515e-52	1.8145527127563057e-06	0.00021411722010524409
K60	K61	39	334	184	67099	1.1167972797247238e-51	1.8145527127563057e-06	0.00021593177281800037
K29	K80	272	2597	2571	67099	1.9587647571229512e-51	1.8145527127563057e-06	0.00021774632553075667
M62	M99	30	135	154	67099	2.5343254993438468e-51	1.8145527127563057e-06	0.00021956087824351298
E03	I10	200	907	4536	67099	8.500047947493043e-51	1.8145527127563057e-06	0.0002213754309562693
I26	J18	52	282	636	67099	2.1719707861422564e-50	1.8145527127563057e-06	0.0002231899836690256
F10	G40	81	1130	549	67099	2.227871959086824e-50	1.8145527127563057e-06	0.0002250045363817819
F17	F32	188	1356	2685	67099	3.996982213775519e-50	1.8145527127563057e-06	0.0002268190890945382
K29	K63	122	2597	623	67099	5.841669053466739e-50	1.8145527127563057e-06	0.00022863364180729452
F32	I10	396	2685	4536	67099	9.012842590057219e-50	1.8145527127563057e-06	0.00023044819452005082
I20	I21	40	388	194	67099	9.28146497617357e-50	1.8145527127563057e-06	0.00023226274723280713
H25	H26	33	291	125	67099	2.008869100359671e-49	1.8145527127563057e-06	0.00023407729994556344
C34	C79	26	92	136	67099	3.783444266864154e-49	1.8145527127563057e-06	0.00023589185265831975
F10	F19	43	1130	103	67099	1.8458643314693067e-48	1.8145527127563057e-06	0.00023770640537107605
F10	K76	96	1130	869	67099	3.510069389225827e-48	1.8145527127563057e-06	0.00023952095808383236
M41	M54	69	165	3038	67099	3.761397876065154e-48	1.8145527127563057e-06	0.00024133551079658867
E66	E79	66	2220	193	67099	5.397045725083881e-48	1.8145527127563057e-06	0.00024315006350934497
I63	I64	30	184	143	67099	5.806449011968092e-48	1.8145527127563057e-06	0.00024496461622210125
E11	H36	29	809	39	67099	7.798211422111698e-48	1.8145527127563057e-06	0.00024677916893485756
E14	E78	89	373	2333	67099	9.732109610793998e-48	1.8145527127563057e-06	0.00024859372164761387
E66	I25	104	2220	551	67099	2.3945249228853504e-47	1.8145527127563057e-06	0.0002504082743603702
C56	C78	30	152	181	67099	2.5702608066146845e-47	1.8145527127563057e-06	0.0002522228270731265
M50	M51	110	597	2319	67099	3.9430958869202943e-47	1.8145527127563057e-06	0.0002540373797858828
M23	M65	121	2019	827	67099	4.562150350823799e-47	1.8145527127563057e-06	0.0002558519324986391
I60	I67	28	112	186	67099	4.774827266933631e-47	1.8145527127563057e-06	0.0002576664852113954
E10	E14	38	195	373	67099	5.75029252237154e-47	1.8145527127563057e-06	0.0002594810379241517
M23	M67	105	2019	621	67099	6.436262791981326e-47	1.8145527127563057e-06	0.000261295590636908
I42	I50	23	86	101	67099	3.560684365903018e-46	1.8145527127563057e-06	0.0002631101433496643
M19	M75	57	269	1091	67099	1.2547329172878177e-45	1.8145527127563057e-06	0.00026492469606242063
F17	I20	71	1356	388	67099	1.5057921207136275e-45	1.8145527127563057e-06	0.00026673924877517694
M54	M62	61	3038	135	67099	3.354032962527038e-45	1.8145527127563057e-06	0.00026855380148793325
I63	I65	24	184	66	67099	3.8797059769154783e-45	1.8145527127563057e-06	0.00027036835420068955
B96	K29	38	48	2597	67099	7.451160024102312e-45	1.8145527127563057e-06	0.00027218290691344586
F13	F60	35	220	286	67099	3.431373932853447e-44	1.8145527127563057e-06	0.00027399745962620217
M51	M53	131	2319	903	67099	6.870919397580218e-44	1.8145527127563057e-06	0.0002758120123389585
F10	K71	40	1130	102	67099	7.927129899464818e-44	1.8145527127563057e-06	0.0002776265650517148
M50	M54	120	597	3038	67099	1.7910413891573306e-43	1.8145527127563057e-06	0.0002794411177644711
C73	E89	24	162	86	67099	2.8240858753280594e-43	1.8145527127563057e-06	0.0002812556704772274
H80	H90	24	93	158	67099	1.2844962964806572e-42	1.8145527127563057e-06	0.0002830702231899837
N87	D06	55	829	360	67099	2.2683750011229765e-42	1.8145527127563057e-06	0.00028488477590274
E10	E11	44	195	809	67099	2.3997942669802435e-42	1.8145527127563057e-06	0.0002866993286154963
I63	I67	29	184	186	67099	2.5811570656835015e-42	1.8145527127563057e-06	0.0002885138813282526
I67	I72	20	186	37	67099	3.8131562734513e-42	1.8145527127563057e-06	0.00029032843404100893
G43	G44	55	653	460	67099	4.785319332558904e-42	1.8145527127563057e-06	0.00029214298675376524
E78	M54	262	2333	3038	67099	6.330222684009492e-42	1.8145527127563057e-06	0.00029395753946652155
N70	K66	52	708	366	67099	6.471410313016507e-42	1.8145527127563057e-06	0.00029577209217927786
E66	K80	228	2220	2571	67099	1.166723717753928e-41	1.8145527127563057e-06	0.00029758664489203416
G56	M65	103	1647	827	67099	1.321796329917884e-41	1.8145527127563057e-06	0.0002994011976047904
F33	F41	80	910	866	67099	2.1944559349366492e-41	1.8145527127563057e-06	0.0003012157503175467
I24	I25	24	39	551	67099	1.1983820802969227e-40	1.8145527127563057e-06	0.00030303030303030303
D50	K29	168	1355	2597	67099	2.57625184306031e-40	1.8145527127563057e-06	0.00030484485574305934
M22	M24	36	278	325	67099	5.491377874595694e-40	1.8145527127563057e-06	0.00030665940845581564
F20	F25	32	295	204	67099	8.18748553762961e-40	1.8145527127563057e-06	0.00030847396116857195
F32	K70	58	2685	162	67099	3.9992319572928125e-39	1.8145527127563057e-06	0.00031028851388132826
H25	H52	32	291	228	67099	2.2225223811167225e-38	1.8145527127563057e-06	0.00031210306659408457
J44	J45	52	535	579	67099	7.579469424386797e-38	1.8145527127563057e-06	0.0003139176193068409
K57	K63	55	579	623	67099	9.035994528427372e-38	1.8145527127563057e-06	0.0003157321720195972
E78	M47	100	2333	616	67099	9.315204279391854e-38	1.8145527127563057e-06	0.0003175467247323535
C73	E04	49	162	1778	67099	1.432343420588413e-37	1.8145527127563057e-06	0.0003193612774451098
I10	J44	129	4536	535	67099	2.162251976314631e-37	1.8145527127563057e-06	0.0003211758301578661
K29	K76	126	2597	869	67099	3.0374107250842776e-37	1.8145527127563057e-06	0.0003229903828706224
K29	K52	117	2597	760	67099	3.456046042582651e-37	1.8145527127563057e-06	0.0003248049355833787
N94	D25	124	442	5216	67099	3.5241478827586674e-37	1.8145527127563057e-06	0.000326619488296135
F45	M54	103	522	3038	67099	9.47069420802758e-37	1.8145527127563057e-06	0.00032843404100889133
N60	D24	52	436	750	67099	9.801626312223565e-37	1.8145527127563057e-06	0.00033024859372164764
I10	I63	72	4536	184	67099	3.0759991695446054e-36	1.8145527127563057e-06	0.00033206314643440395
I10	I70	59	4536	122	67099	3.2450155929116215e-36	1.8145527127563057e-06	0.00033387769914716025
E66	J44	89	2220	535	67099	3.37729061973366e-36	1.8145527127563057e-06	0.00033569225185991656
F13	F41	42	220	866	67099	5.040266156042125e-36	1.8145527127563057e-06	0.00033750680457267287
M65	M94	46	827	299	67099	8.362890404510564e-36	1.8145527127563057e-06	0.0003393213572854292
H65	H90	21	95	158	67099	8.543568601417837e-36	1.8145527127563057e-06	0.0003411359099981855
K02	K04	19	73	132	67099	1.438263448627582e-35	1.8145527127563057e-06	0.0003429504627109418
M24	M25	36	325	375	67099	3.286969546887895e-35	1.8145527127563057e-06	0.0003447650154236981
E66	E88	44	2220	114	67099	4.037699288947241e-35	1.8145527127563057e-06	0.0003465795681364544
M17	M94	37	455	299	67099	7.362462891609498e-35	1.8145527127563057e-06	0.0003483941208492107
I25	I50	28	551	101	67099	8.013976657304424e-35	1.8145527127563057e-06	0.000350208673561967
C71	D43	15	41	76	67099	9.173574662690758e-35	1.8145527127563057e-06	0.0003520232262747233
K80	K82	42	2571	92	67099	1.0249283254682653e-34	1.8145527127563057e-06	0.00035383777898747963
M24	M67	42	325	621	67099	1.211895593016844e-34	1.8145527127563057e-06	0.00035565233170023594
N20	N39	101	688	2320	67099	1.6875309922340149e-34	1.8145527127563057e-06	0.00035746688441299225
M42	M99	27	317	154	67099	2.8714236620324053e-34	1.8145527127563057e-06	0.00035928143712574855
M71	M75	40	171	1091	67099	3.2533614232421422e-34	1.8145527127563057e-06	0.00036109598983850486
J18	J90	29	636	105	67099	3.703286643123639e-34	1.8145527127563057e-06	0.00036291054255126117
E11	I25	56	809	551	67099	5.208151927025503e-34	1.8145527127563057e-06	0.0003647250952640175
G46	I63	14	17	184	67099	5.53600399554301e-34	1.8145527127563057e-06	0.00036653964797677373
E78	F10	132	2333	1130	67099	7.6868973760541925e-34	1.8145527127563057e-06	0.00036835420068953003
M51	M99	49	2319	154	67099	2.0401792024509294e-33	1.8145527127563057e-06	0.00037016875340228634
N18	N19	16	122	44	67099	2.0431812326306576e-33	1.8145527127563057e-06	0.00037198330611504265
N83	D27	84	2342	493	67099	2.294197178306785e-33	1.8145527127563057e-06	0.00037379785882779896
N73	D25	135	553	5216	67099	2.315454011605754e-33	1.8145527127563057e-06	0.00037561241154055526
C83	C85	13	29	59	67099	3.0329343140451533e-33	1.8145527127563057e-06	0.00037742696425331157
K76	K80	119	869	2571	67099	3.035291705202415e-33	1.8145527127563057e-06	0.0003792415169660679
G46	I66	10	17	19	67099	3.523437268662526e-33	1.8145527127563057e-06	0.0003810560696788242
E11	K76	67	809	869	67099	4.12820625719005e-33	1.8145527127563057e-06	0.0003828706223915805
N83	N99	44	2342	120	67099	5.205574071874144e-33	1.8145527127563057e-06	0.0003846851751043368
I83	I87	55	3793	135	67099	5.3537120176855375e-33	1.8145527127563057e-06	0.0003864997278170931
K25	K29	62	242	2597	67099	5.531699352726145e-33	1.8145527127563057e-06	0.0003883142805298494
E14	H36	19	373	39	67099	5.600200872595966e-33	1.8145527127563057e-06	0.0003901288332426057
N83	N92	411	2342	6518	67099	7.974127315133828e-33	1.8145527127563057e-06	0.00039194338595536203
F32	F50	41	2685	92	67099	1.1854884717219803e-32	1.8145527127563057e-06	0.00039375793866811834
K85	K86	20	199	85	67099	1.2318668878736738e-32	1.8145527127563057e-06	0.00039557249138087464
